Entry Time,Exit Time,Entry Price,Exit Price,direction,Signal Type,Exit Reason,PnL %,Direction
2025-01-24 03:15:00,2025-01-24 03:30:00,0.34421,0.34747999500000004,1,MeanRev_Long,TP2 Hit (Runner),0.8900000000000075,LONG
2025-01-24 03:35:00,2025-01-24 04:00:00,0.34926,0.34694,-1,MeanRev_Short,5-Bar Time Stop,0.6042615816297282,SHORT
2025-01-24 04:40:00,2025-01-24 04:55:00,0.35148,0.35326,-1,MeanRev_Short,Stall Filter (Bar 3),-0.5664299533401627,SHORT
2025-01-24 05:05:00,2025-01-24 05:15:00,0.3545,0.35627249999999994,-1,MeanRev_Short,Stop Loss,-0.5599999999999873,SHORT
2025-01-24 05:25:00,2025-01-24 05:50:00,0.35629,0.35595,-1,MeanRev_Short,5-Bar Time Stop,0.035427881781696646,SHORT
2025-01-24 08:25:00,2025-01-24 08:40:00,0.36169,0.35993843999999997,-1,MeanRev_Short,Trailing Stop,0.42427106085322813,SHORT
2025-01-24 10:40:00,2025-01-24 10:55:00,0.36173,0.36462384,-1,MeanRev_Short,Stop Loss,-0.8599999999999947,SHORT
2025-01-24 13:00:00,2025-01-24 13:15:00,0.36328,0.36161178,-1,MeanRev_Short,Trailing Stop,0.39921052631578896,SHORT
2025-01-24 14:30:00,2025-01-24 14:40:00,0.35958,0.36299601000000004,1,MeanRev_Long,TP2 Hit (Runner),0.8900000000000069,LONG
2025-01-24 15:40:00,2025-01-24 16:05:00,0.35834,0.35957,1,MeanRev_Long,5-Bar Time Stop,0.28324942791762264,LONG
2025-01-24 23:00:00,2025-01-24 23:25:00,0.34971,0.34975,1,MeanRev_Long,5-Bar Time Stop,-0.04856195133110735,LONG
2025-01-25 00:25:00,2025-01-25 00:50:00,0.34909,0.34641,1,MeanRev_Long,5-Bar Time Stop,-0.8277103325789956,LONG
2025-01-25 00:55:00,2025-01-25 01:05:00,0.34547,0.34803254,1,MeanRev_Long,Trailing Stop,0.6817547109734571,LONG
2025-01-25 03:20:00,2025-01-25 03:35:00,0.35187,0.35275,-1,MeanRev_Short,Stall Filter (Bar 3),-0.3100923636570301,SHORT
2025-01-25 05:05:00,2025-01-25 05:30:00,0.34847,0.35055,1,MeanRev_Long,5-Bar Time Stop,0.5368949981346948,LONG
2025-01-25 06:15:00,2025-01-25 06:40:00,0.34891,0.34921,1,MeanRev_Long,5-Bar Time Stop,0.025982058410484794,LONG
2025-01-25 12:45:00,2025-01-25 13:10:00,0.34993,0.35059,-1,MeanRev_Short,5-Bar Time Stop,-0.2486091504015071,SHORT
2025-01-25 23:55:00,2025-01-26 00:20:00,0.35352,0.35469,1,MeanRev_Long,5-Bar Time Stop,0.27095723014256745,LONG
2025-01-26 02:00:00,2025-01-26 02:25:00,0.35358,0.35384,1,MeanRev_Long,5-Bar Time Stop,0.013533570903326677,LONG
2025-01-26 03:40:00,2025-01-26 04:05:00,0.3555,0.35539,-1,MeanRev_Short,5-Bar Time Stop,-0.029057665260197183,SHORT
2025-01-26 04:20:00,2025-01-26 04:35:00,0.35627,0.35632,-1,MeanRev_Short,Stall Filter (Bar 3),-0.07403429982879557,SHORT
2025-01-26 06:00:00,2025-01-26 06:25:00,0.35353,0.35369,1,MeanRev_Long,5-Bar Time Stop,-0.014742171810032107,LONG
2025-01-26 14:10:00,2025-01-26 14:25:00,0.35037,0.35067,1,MeanRev_Long,Stall Filter (Bar 3),0.025623769158308916,LONG
2025-01-26 20:45:00,2025-01-26 21:05:00,0.35244,0.34962047999999996,1,MeanRev_Long,Stop Loss,-0.8600000000000058,LONG
2025-01-27 00:10:00,2025-01-27 00:20:00,0.33497,0.33329515,1,MeanRev_Long,Stop Loss,-0.5600000000000016,LONG
2025-01-27 01:10:00,2025-01-27 01:20:00,0.32871,0.3311364,1,MeanRev_Long,Trailing Stop,0.6781582549968043,LONG
2025-01-27 05:10:00,2025-01-27 05:20:00,0.32151,0.32456434500000003,1,MeanRev_Long,TP2 Hit (Runner),0.8900000000000043,LONG
2025-01-27 05:35:00,2025-01-27 06:00:00,0.32063,0.32165,1,MeanRev_Long,5-Bar Time Stop,0.25812369397747104,LONG
2025-01-27 06:15:00,2025-01-27 06:25:00,0.31796,0.32023824,1,MeanRev_Long,Trailing Stop,0.6565178009812513,LONG
2025-01-27 06:35:00,2025-01-27 06:45:00,0.31508,0.3135046,1,MeanRev_Long,Stop Loss,-0.5600000000000014,LONG
2025-01-27 07:25:00,2025-01-27 07:35:00,0.30589,0.308795955,1,MeanRev_Long,TP2 Hit (Runner),0.8900000000000052,LONG
2025-01-27 09:05:00,2025-01-27 09:25:00,0.31655,0.3133845,-1,MeanRev_Short,TP2 Hit (Runner),0.9399999999999962,SHORT
2025-01-27 12:45:00,2025-01-27 12:50:00,0.31546,0.31798368000000005,-1,MeanRev_Short,Stop Loss,-0.8600000000000089,SHORT
2025-01-27 13:00:00,2025-01-27 13:05:00,0.32113,0.32369904000000005,-1,MeanRev_Short,Stop Loss,-0.860000000000007,SHORT
2025-01-27 13:10:00,2025-01-27 13:20:00,0.32538,0.3221262,-1,MeanRev_Short,TP2 Hit (Runner),0.9400000000000088,SHORT
2025-01-27 14:35:00,2025-01-27 14:45:00,0.32365,0.32526825,-1,MeanRev_Short,Stop Loss,-0.5599999999999962,SHORT
2025-01-27 14:50:00,2025-01-27 15:15:00,0.327,0.32406,-1,MeanRev_Short,5-Bar Time Stop,0.8390825688073389,SHORT
2025-01-27 15:25:00,2025-01-27 15:50:00,0.3283,0.32748,-1,MeanRev_Short,5-Bar Time Stop,0.18977155041120544,SHORT
2025-01-28 00:00:00,2025-01-28 00:20:00,0.33686,0.334230595,-1,MeanRev_Short,Trailing Stop,0.7205631419580757,SHORT
2025-01-28 00:25:00,2025-01-28 00:50:00,0.33422,0.33194,-1,MeanRev_Short,5-Bar Time Stop,0.6221853868709246,SHORT
2025-01-28 01:20:00,2025-01-28 01:35:00,0.33037,0.33072,1,MeanRev_Long,Stall Filter (Bar 3),0.045941822804739234,LONG
2025-01-28 02:00:00,2025-01-28 02:25:00,0.33485,0.33406,-1,MeanRev_Short,5-Bar Time Stop,0.17592653426906302,SHORT
2025-01-28 03:40:00,2025-01-28 04:05:00,0.33594,0.33584,-1,MeanRev_Short,5-Bar Time Stop,-0.03023277966303834,SHORT
2025-01-28 10:15:00,2025-01-28 10:30:00,0.33509,0.33561,-1,MeanRev_Short,Stall Filter (Bar 3),-0.21518218985944684,SHORT
2025-01-28 16:50:00,2025-01-28 17:05:00,0.3271,0.33020745,1,MeanRev_Long,TP2 Hit (Runner),0.8900000000000037,LONG
2025-01-29 06:15:00,2025-01-29 06:35:00,0.32948,0.33112739999999996,-1,MeanRev_Short,Stop Loss,-0.5599999999999895,SHORT
